"arc_length","Figure 17","Figure 18","Figure 19"
0.1083,0.602162,0.0789803,0.545587
0.1086,0.601487,0.0787903,0.545271
0.1089,0.600812,0.0786003,0.544955
0.1092,0.600137,0.0784102,0.544638
0.1095,0.599462,0.0782202,0.544322
0.1098,0.598787,0.0780301,0.544006
0.1101,0.598104,0.0778426,0.543688
0.1104,0.597407,0.0776602,0.543368
0.1107,0.59671,0.0774777,0.543047
0.111,0.596013,0.0772953,0.542727
0.1113,0.595315,0.0771128,0.542406
0.1116,0.594618,0.0769304,0.542086
0.1119,0.593921,0.0767479,0.541765
0.1122,0.593224,0.0765655,0.541445
0.1125,0.592527,0.076383,0.541124
0.1128,0.59183,0.0762006,0.540804
0.1131,0.591132,0.0760181,0.540484
0.1134,0.590435,0.0758357,0.540163
0.1137,0.589738,0.0756532,0.539843
0.114,0.589041,0.0754707,0.539522
0.1143,0.588344,0.0752883,0.539202
0.1146,0.587647,0.0751058,0.538881
0.1149,0.586949,0.0749234,0.538561
0.1152,0.58624,0.0747466,0.538238
0.1155,0.585525,0.0745725,0.537914
0.1158,0.58481,0.0743985,0.53759
0.1161,0.584095,0.0742245,0.537266
0.1164,0.583379,0.0740504,0.536942
0.1167,0.582664,0.0738764,0.536618
0.117,0.581949,0.0737024,0.536294
0.1173,0.581234,0.0735284,0.53597
0.1176,0.580519,0.0733543,0.535646
0.1179,0.579804,0.0731803,0.535322
0.1182,0.579088,0.0730063,0.534998
0.1185,0.578373,0.0728322,0.534675
0.1188,0.577658,0.0726582,0.534351
0.1191,0.576943,0.0724842,0.534027
0.1194,0.576228,0.0723102,0.533703
0.1197,0.575512,0.0721361,0.533379
0.12,0.574797,0.0719621,0.533055
0.1203,0.574068,0.0717971,0.532728
0.1206,0.573338,0.0716321,0.532401
0.1209,0.572609,0.0714671,0.532074
0.1212,0.57188,0.0713021,0.531747
0.1215,0.57115,0.071137,0.531421
0.1218,0.570421,0.070972,0.531094
0.1221,0.569691,0.070807,0.530767
0.1224,0.568962,0.070642,0.53044
0.1227,0.568232,0.070477,0.530113
0.123,0.567503,0.070312,0.529786
0.1233,0.566773,0.070147,0.52946
0.1236,0.566044,0.069982,0.529133
0.1239,0.565315,0.069817,0.528806
0.1242,0.564585,0.069652,0.528479
0.1245,0.563856,0.0694869,0.528152
0.1248,0.563126,0.0693219,0.527825
0.1251,0.562393,0.06916,0.527498
0.1254,0.561653,0.0690044,0.527169
0.1257,0.560913,0.0688487,0.526839
0.126,0.560172,0.068693,0.52651
0.1263,0.559432,0.0685374,0.526181
0.1266,0.558692,0.0683817,0.525852
0.1269,0.557951,0.068226,0.525523
0.1272,0.557211,0.0680704,0.525194
0.1275,0.55647,0.0679147,0.524864
0.1278,0.55573,0.067759,0.524535
0.1281,0.55499,0.0676034,0.524206
0.1284,0.554249,0.0674477,0.523877
0.1287,0.553509,0.067292,0.523548
0.129,0.552769,0.0671364,0.523219
0.1293,0.552028,0.0669807,0.522889
0.1296,0.551288,0.066825,0.52256
0.1299,0.550548,0.0666694,0.522231
0.1302,0.549802,0.06652,0.521901
0.1305,0.549054,0.0663737,0.52157
0.1308,0.548305,0.0662275,0.521239
0.1311,0.547557,0.0660812,0.520908
0.1314,0.546808,0.065935,0.520577
0.1317,0.54606,0.0657887,0.520246
0.132,0.545312,0.0656425,0.519915
0.1323,0.544563,0.0654962,0.519584
0.1326,0.543815,0.06535,0.519253
0.1329,0.543066,0.0652038,0.518922
0.1332,0.542318,0.0650575,0.518591
0.1335,0.54157,0.0649113,0.51826
0.1338,0.540821,0.064765,0.517929
0.1341,0.540073,0.0646188,0.517598
0.1344,0.539324,0.0644725,0.517267
0.1347,0.538576,0.0643263,0.516936
0.135,0.537827,0.06418,0.516605
0.1353,0.537073,0.0640431,0.516273
0.1356,0.536319,0.0639061,0.51594
0.1359,0.535565,0.0637691,0.515608
0.1362,0.534811,0.0636322,0.515276
0.1365,0.534057,0.0634952,0.514944
0.1368,0.533303,0.0633582,0.514611
0.1371,0.532549,0.0632213,0.514279
0.1374,0.531795,0.0630843,0.513947
0.1377,0.531041,0.0629473,0.513614
0.138,0.530287,0.0628104,0.513282
0.1383,0.529533,0.0626734,0.51295
0.1386,0.528779,0.0625364,0.512617
0.1389,0.528025,0.0623995,0.512285
0.1392,0.527271,0.0622625,0.511953
0.1395,0.526517,0.0621255,0.511621
0.1398,0.525763,0.0619886,0.511288
0.1401,0.525007,0.0618546,0.510956
0.1404,0.52425,0.0617266,0.510623
0.1407,0.523492,0.0615987,0.510289
0.141,0.522735,0.0614707,0.509956
0.1413,0.521977,0.0613427,0.509623
0.1416,0.521219,0.0612147,0.50929
0.1419,0.520462,0.0610867,0.508957
0.1422,0.519704,0.0609588,0.508623
0.1425,0.518947,0.0608308,0.50829
0.1428,0.518189,0.0607028,0.507957
0.1431,0.517431,0.0605748,0.507624
0.1434,0.516674,0.0604469,0.507291
0.1437,0.515916,0.0603189,0.506958
0.144,0.515159,0.0601909,0.506624
0.1443,0.514401,0.0600629,0.506291
0.1446,0.513643,0.0599349,0.505958
0.1449,0.512886,0.059807,0.505625
0.1452,0.512127,0.0596847,0.505291
0.1455,0.511368,0.0595653,0.504958
0.1458,0.510608,0.0594459,0.504624
0.1461,0.509849,0.0593265,0.50429
0.1464,0.50909,0.0592071,0.503957
0.1467,0.50833,0.0590877,0.503623
0.147,0.507571,0.0589683,0.50329
0.1473,0.506812,0.0588489,0.502956
0.1476,0.506052,0.0587295,0.502622
0.1479,0.505293,0.0586101,0.502289
0.1482,0.504534,0.0584907,0.501955
0.1485,0.503774,0.0583713,0.501622
0.1488,0.503015,0.0582519,0.501288
0.1491,0.502256,0.0581325,0.500954
0.1494,0.501496,0.0580131,0.500621
0.1497,0.500737,0.0578937,0.500287
0.15,0.499978,0.0577743,0.499954
0.1503,0.499218,0.057663,0.49962
0.1506,0.498459,0.0575518,0.499286
0.1509,0.4977,0.0574405,0.498953
0.1512,0.49694,0.0573292,0.498619
0.1515,0.496181,0.0572179,0.498285
0.1518,0.495422,0.0571066,0.497952
0.1521,0.494662,0.0569953,0.497618
0.1524,0.493903,0.0568841,0.497285
0.1527,0.493144,0.0567728,0.496951
0.153,0.492384,0.0566615,0.496617
0.1533,0.491625,0.0565502,0.496284
0.1536,0.490866,0.0564389,0.49595
0.1539,0.490106,0.0563277,0.495616
0.1542,0.489347,0.0562164,0.495283
0.1545,0.488588,0.0561051,0.494949
0.1548,0.487828,0.0559938,0.494616
0.1551,0.48707,0.0558851,0.494282
0.1554,0.486312,0.0557814,0.493949
0.1557,0.485554,0.0556778,0.493616
0.156,0.484797,0.0555741,0.493283
0.1563,0.484039,0.0554704,0.49295
0.1566,0.483282,0.0553668,0.492616
0.1569,0.482524,0.0552631,0.492283
0.1572,0.481766,0.0551595,0.49195
0.1575,0.481009,0.0550558,0.491617
0.1578,0.480251,0.0549522,0.491284
0.1581,0.479493,0.0548485,0.490951
0.1584,0.478736,0.0547449,0.490617
0.1587,0.477978,0.0546412,0.490284
0.159,0.477221,0.0545375,0.489951
0.1593,0.476463,0.0544339,0.489618
0.1596,0.475705,0.0543302,0.489285
0.1599,0.474948,0.0542266,0.488952
0.1602,0.474193,0.0541277,0.488619
0.1605,0.473438,0.0540312,0.488287
0.1608,0.472684,0.0539346,0.487954
0.1611,0.47193,0.0538381,0.487622
0.1614,0.471176,0.0537416,0.48729
0.1617,0.470422,0.0536451,0.486957
0.162,0.469668,0.0535485,0.486625
0.1623,0.468914,0.053452,0.486293
0.1626,0.46816,0.0533555,0.485961
0.1629,0.467406,0.053259,0.485628
0.1632,0.466652,0.0531625,0.485296
0.1635,0.465898,0.0530659,0.484964
0.1638,0.465144,0.0529694,0.484631
0.1641,0.46439,0.0528729,0.484299
0.1644,0.463636,0.0527764,0.483967
0.1647,0.462882,0.0526798,0.483635
0.165,0.462128,0.0525833,0.483302
0.1653,0.461379,0.0524935,0.482971
0.1656,0.460631,0.0524036,0.48264
0.1659,0.459883,0.0523137,0.482309
0.1662,0.459134,0.0522239,0.481978
0.1665,0.458386,0.052134,0.481647
0.1668,0.457637,0.0520442,0.481316
0.1671,0.456889,0.0519543,0.480985
0.1674,0.45614,0.0518644,0.480654
0.1677,0.455392,0.0517746,0.480323
0.168,0.454644,0.0516847,0.479992
0.1683,0.453895,0.0515949,0.479662
0.1686,0.453147,0.051505,0.479331
0.1689,0.452398,0.0514151,0.479
0.1692,0.45165,0.0513253,0.478669
0.1695,0.450902,0.0512354,0.478338
0.1698,0.450153,0.0511456,0.478007
0.1701,0.449407,0.0510578,0.477676
0.1704,0.448667,0.0509741,0.477347
0.1707,0.447927,0.0508905,0.477018
0.171,0.447186,0.0508068,0.476689
0.1713,0.446446,0.0507232,0.47636
0.1716,0.445706,0.0506395,0.47603
0.1719,0.444965,0.0505559,0.475701
0.1722,0.444225,0.0504722,0.475372
0.1725,0.443485,0.0503886,0.475043
0.1728,0.442744,0.0503049,0.474714
0.1731,0.442004,0.0502213,0.474385
0.1734,0.441264,0.0501376,0.474056
0.1737,0.440523,0.050054,0.473726
0.174,0.439783,0.0499703,0.473397
0.1743,0.439043,0.0498867,0.473068
0.1746,0.438302,0.0498031,0.472739
0.1749,0.437562,0.0497194,0.47241
0.1752,0.436829,0.0496396,0.472082
0.1755,0.4361,0.0495618,0.471755
0.1758,0.43537,0.0494839,0.471428
0.1761,0.434641,0.0494061,0.471102
0.1764,0.433911,0.0493282,0.470775
0.1767,0.433182,0.0492504,0.470448
0.177,0.432452,0.0491725,0.470121
0.1773,0.431723,0.0490947,0.469794
0.1776,0.430994,0.0490168,0.469468
0.1779,0.430264,0.048939,0.469141
0.1782,0.429535,0.0488611,0.468814
0.1785,0.428805,0.0487833,0.468487
0.1788,0.428076,0.0487054,0.46816
0.1791,0.427347,0.0486276,0.467833
0.1794,0.426617,0.0485497,0.467507
0.1797,0.425888,0.0484718,0.46718
0.18,0.425158,0.048394,0.466853
0.1803,0.424443,0.0483216,0.466529
0.1806,0.423728,0.0482491,0.466205
0.1809,0.423013,0.0481767,0.465881
0.1812,0.422298,0.0481042,0.465557
0.1815,0.421582,0.0480318,0.465233
0.1818,0.420867,0.0479594,0.464909
0.1821,0.420152,0.0478869,0.464585
0.1824,0.419437,0.0478145,0.464261
0.1827,0.418722,0.0477421,0.463938
0.183,0.418007,0.0476696,0.463614
0.1833,0.417291,0.0475972,0.46329
0.1836,0.416576,0.0475247,0.462966
0.1839,0.415861,0.0474523,0.462642
0.1842,0.415146,0.0473799,0.462318
0.1845,0.414431,0.0473074,0.461994
0.1848,0.413716,0.047235,0.46167
0.1851,0.413006,0.0471642,0.461347
0.1854,0.412309,0.0470969,0.461027
0.1857,0.411612,0.0470295,0.460706
0.186,0.410915,0.0469621,0.460386
0.1863,0.410218,0.0468948,0.460065
0.1866,0.409521,0.0468274,0.459745
0.1869,0.408823,0.04676,0.459424
0.1872,0.408126,0.0466926,0.459104
0.1875,0.407429,0.0466253,0.458783
0.1878,0.406732,0.0465579,0.458463
0.1881,0.406035,0.0464905,0.458143
0.1884,0.405338,0.0464231,0.457822
0.1887,0.40464,0.0463558,0.457502
0.189,0.403943,0.0462884,0.457181
0.1893,0.403246,0.046221,0.456861
0.1896,0.402549,0.0461537,0.45654
0.1899,0.401852,0.0460863,0.45622
0.1902,0.401169,0.0460221,0.455902
0.1905,0.400494,0.0459594,0.455586
0.1908,0.399819,0.0458968,0.45527
0.1911,0.399144,0.0458342,0.454953
0.1914,0.398469,0.0457716,0.454637
0.1917,0.397794,0.0457089,0.454321
0.192,0.397119,0.0456463,0.454004
0.1923,0.396444,0.0455837,0.453688
0.1926,0.395769,0.0455211,0.453372
0.1929,0.395094,0.0454584,0.453056
0.1932,0.394419,0.0453958,0.452739
0.1935,0.393744,0.0453332,0.452423
0.1938,0.393069,0.0452706,0.452107
0.1941,0.392394,0.0452079,0.45179
0.1944,0.391719,0.0451453,0.451474
0.1947,0.391044,0.0450827,0.451158
0.195,0.390369,0.0450201,0.450841
0.1953,0.38972,0.0449619,0.45053
0.1956,0.389071,0.0449037,0.450219
0.1959,0.388423,0.0448456,0.449907
0.1962,0.387774,0.0447874,0.449596
0.1965,0.387125,0.0447293,0.449284
0.1968,0.386477,0.0446711,0.448973
0.1971,0.385828,0.0446129,0.448662
0.1974,0.385179,0.0445548,0.44835
0.1977,0.38453,0.0444966,0.448039
0.198,0.383882,0.0444384,0.447727
0.1983,0.383233,0.0443803,0.447416
0.1986,0.382584,0.0443221,0.447105
0.1989,0.381936,0.044264,0.446793
0.1992,0.381287,0.0442058,0.446482
0.1995,0.380638,0.0441476,0.44617
0.1998,0.379989,0.0440895,0.445859
0.2001,0.379351,0.0440327,0.44555
0.2004,0.378733,0.0439788,0.445244
0.2007,0.378114,0.0439248,0.444938
0.201,0.377496,0.0438708,0.444632
0.2013,0.376877,0.0438169,0.444327
0.2016,0.376259,0.0437629,0.444021
0.2019,0.375641,0.043709,0.443715
0.2022,0.375022,0.043655,0.44341
0.2025,0.374404,0.0436011,0.443104
0.2028,0.373785,0.0435471,0.442798
0.2031,0.373167,0.0434931,0.442492
